Input file=../chi/archive/chi2020.04t.txt
WS=Wind Speed (m/s)
WD=Wind Dir (deg)
AT=Air Temp (C)

Year=2020
Min WS=      0.00000  Max WS=      24.4000
Min WD=      0.00000  Max WD=      360.000
Min AT=     -16.6000  Max AT=      33.8000

 Daily Averages
 DOY    WS    WD    AT     n
   1   9.20  235  -0.58  720
   2  11.58  206   6.11  720
   3   5.17  314   4.28  720
   4   6.76  323   0.53  720
   5   9.62  236   0.21  720
   6   8.22  262   2.09  720
   7   7.88  260   2.98  720
   8   8.12  311  -4.32  720
   9  12.58  160   1.31  720
  10   9.05  217   7.08  720
  11  12.88  000   1.80  720
  12   6.16  332  -2.12  720
  13   6.09  206   0.36  728
  14   6.89  198   2.60  720
  15   4.39  022   1.34  720
  16   8.66  299  -3.13  720
  17   6.93  081  -4.64  720
  18  11.63  188  -0.50  720
  19  12.21  273 -11.70  720
  20   6.89  318  -3.87  720
  21   5.19  273  -3.59  720
  22  10.29  197  -1.77  720
  23   7.46  172   0.13  720
  24   3.98  102   1.82  720
  25   5.75  242   1.50  720
  26   6.63  261   0.70  720
  27   4.46  300  -0.62  720
  28   3.85  321   0.35  720
  29   3.42  008  -0.36  720
  30   2.70  045  -0.02  720
  31   4.42  167   0.46  720
  32   7.18  213   1.68  720
  33  12.37  246   5.73  720
  34   4.95  329   4.12  720
  35  11.77  001   1.77  720
  36   8.81  038  -1.37  720
  37   9.27  036  -1.92  720
  38   6.49  337  -0.44  720
  39   4.55  259   0.05  720
  40   8.89  194  -0.61  720
  41   6.60  326  -0.66  720
  42   6.56  261  -0.35  720
  43   6.26  214  -0.94  720
  44   8.39  302  -4.56  720
  45   6.35  275 -12.99  720
  46  12.50  199  -6.72  720
  47   5.31  284  -0.81  720
  48   6.21  123   0.74  720
  49   8.85  262   2.24  720
  50   6.40  326  -4.45  720
  51   6.78  331  -7.70  720
  52   7.31  248  -5.34  720
  53   9.02  209   2.19  720
  54   8.86  211   5.90  720
  55   5.63  324   4.96  720
  56   9.91  017   2.03  720
  57  13.20  358  -0.71  720
  58   8.59  297  -2.68  720
  59   6.91  304  -4.39  720
  60   6.82  279  -3.27  720
  61  10.71  190   4.03  720
  62   6.39  279   6.30  720
  63   6.85  250   3.72  720
  64   6.02  274   4.35  720
  65   8.59  214   5.74  720
  66  12.59  323   1.49  720
  67   6.09  155   1.71  720
  68  13.15  197   9.09  720
  69  13.85  202  11.92  720
  70   8.30  351   4.47  720
  71   3.80  174   2.88  720
  72   5.89  171   5.59  720
  73  10.18  272   6.40  720
  74   6.48  012   3.29  720
  75   7.20  026   1.20  720
  76   4.20  148   2.25  720
  77   5.96  293   3.32  720
  78   4.77  116   3.33  720
  79   5.22  115   4.58  720
  80  10.69  329   7.20  720
  81   7.89  027  -1.69  720
  82   5.81  114  -0.69  720
  83   3.93  048   1.25  720
  84   3.00  105   2.45  720
  85   4.49  153   5.11  720
  86   6.79  252   7.39  720
  87   6.01  009   3.35  720
  88   5.54  063   5.57  720
  89  12.59  219  10.45  720
  90   8.81  303   6.02  720
  91   6.21  012   3.02  720
  92   6.53  351   3.11  720
  93   2.22  103   2.11  720
  94   3.25  112   6.46  720
  95   5.79  326   6.43  720
  96   5.51  008   3.26  720
  97   3.47  095   5.56  720
  98   5.42  184  15.18  720
  99   4.33  018   9.83  720
 100  10.87  294   6.99  720
 101   7.96  327   3.25  720
 102   5.33  162   7.91  720
 103   7.07  153  10.59  720
 104  11.68  272   6.07  720
 105   9.25  268   1.77  720
 106   5.29  328   0.12  720
 107   6.09  277   2.15  720
 108   5.02  022   3.01  720
 109   9.10  239   6.48  720
 110   9.69  257   9.21  720
 111   4.82  242   9.09  720
 112  10.49  311   6.82  720
 113   6.63  128   5.42  720
 114   4.98  026   6.88  720
 115   6.68  356   4.70  720
 116   7.38  022   5.41  720
 117   8.34  346   6.13  720
 118   6.20  225  11.50  720
 119   6.41  159  13.03  720
 120   6.70  285  11.11  720
 121  13.59  337   6.21  720
 122   4.78  299   8.96  720
 123   7.88  214  16.77  720
 124   6.06  273  16.65  720
 125   9.24  005   6.08  720
 126   6.45  031   5.91  720
 127   6.32  353   6.79  720
 128   7.09  273  10.89  720
 129   8.90  016   4.34  720
 130   5.78  284   5.63  720
 131   9.83  252   9.33  720
 132   6.13  341   4.71  720
 133   6.21  212   8.23  720
 134   6.22  100   8.84  720
 135   7.48  179  14.45  720
 136   4.67  180  17.28  720
 137   5.26  001   9.68  720
 138   6.63  094  11.55  720
 139   3.91  019  11.88  720
 140   8.62  008   9.49  720
 141   6.70  048  10.24  720
 142   5.37  059  10.99  720
 143   2.17  010  10.85  720
 144   3.88  027  12.38  720
 145   6.10  153  19.96  720
 146   6.76  170  22.56  720
 147   5.02  148  22.73  720
 148   5.28  150  23.04  720
 149   5.83  191  22.08  720
 150   4.38  010  16.44  720
 151   4.83  003  15.26  720
 152   6.00  056  12.30  720
 153   7.43  176  16.93  720
 154  10.85  224  24.66  720
 155   6.42  244  22.90  720
 156   4.19  164  21.39  720
 157   3.19  145  22.18  720
 158   5.08  352  18.40  720
 159   4.84  028  15.67  720
 160   4.68  103  19.56  720
 161   7.83  128  22.19  720
 162  10.55  203  24.04  720
 163   9.03  267  20.18  720
 164   5.15  325  17.50  720
 165   8.80  012  12.70  720
 166   6.87  041  13.67  720
 167   3.98  048  14.59  720
 168   3.77  056  16.68  720
 169   4.17  112  20.05  720
 170   4.95  123  21.29  720
 171   3.06  111  22.08  720
 172   5.01  195  25.75  720
 173   5.63  168  21.89  720
 174   5.54  159  21.93  720
 175   6.18  279  19.71  720
 176   3.95  289  18.76  720
 177   4.45  224  20.23  720
 178   5.05  191  22.84  720
 179   6.43  211  24.08  720
 180   4.17  114  22.37  720
 181   4.59  140  23.35  720
 182   4.86  118  22.85  720
 183   4.09  065  22.99  720
 184   2.99  027  23.61  720
 185   2.13  353  24.16  720
 186   3.54  347  23.89  720
 187   2.60  021  24.68  720
 188   3.85  140  26.95  720
 189   4.05  159  28.12  720
 190   3.64  084  25.49  720
 191   5.09  165  27.47  720
 192   6.79  295  24.82  720
 193   6.14  299  25.80  720
 194   5.79  016  23.21  719
 195   4.58  039  21.96  622
 196   5.47  156  23.83  720
 197   6.42  175  25.65  720
 198   8.12  023  22.09  720
 199   4.54  181  24.79  720
 200   7.52  191  27.39  720
 201  10.48  226  26.84  720
 202   5.30  303  24.17  720
 203   5.25  091  23.40  720
 204   4.73  218  24.92  720
 205   5.08  348  22.70  720
 206   4.32  000  22.59  720
 207   4.70  149  24.84  720
