Input file=chi2016.04t.txt
WS=Wind Speed (m/s)
WD=Wind Dir (deg)
AT=Air Temp (C)

Year=2016
Min WS=      0.00000  Max WS=      25.4000
Min WD=      0.00000  Max WD=      360.000
Min AT=     -18.9000  Max AT=      33.5000

 Daily Averages
 DOY    WS    WD    AT     n
   1   9.34  252  -3.36  720
   2   7.25  249  -0.98  721
   3   9.87  302  -1.02  704
   4   9.30  344  -1.41  720
   5   7.90  176  -1.97  720
   6   7.76  195   0.37  720
   7   6.07  166   3.40  720
   8   5.28  149   4.83  720
   9   5.19  283   4.60  720
  10  11.68  307  -5.78  720
  11   8.34  244 -13.11  720
  12  11.83  268  -8.57  720
  13   8.30  240 -11.93  720
  14   8.31  213   1.91  720
  15  10.26  217   5.66  720
  16   8.28  300  -0.91  720
  17   9.65  286 -12.42  720
  18   9.82  277 -16.21  720
  19   5.60  256 -13.07  720
  20   3.44  223  -7.19  720
  21   3.18  244  -5.10  720
  22   6.77  029  -1.91  720
  23   6.24  050  -0.11  720
  24   6.11  210  -1.19  720
  25   6.30  174   1.21  720
  26  11.24  252   1.44  720
  27   7.69  254  -1.63  720
  28  11.61  247   2.14  720
  29   6.99  345  -1.60  720
  30   8.27  206   4.33  720
  31   6.80  205   7.06  720
  32   5.26  275   2.82  700
  33   6.49  082   2.35  720
  34   8.36  233   3.33  720
  35   6.76  268  -1.98  720
  36   5.76  266  -0.83  720
  37   5.38  229   0.54  720
  38   8.65  211   4.90  720
  39   7.96  268   1.08  720
  40   8.49  305  -6.20  720
  41   8.73  308  -9.14  720
  42   5.53  325  -9.28  720
  43   8.23  276  -5.89  720
  44   8.71  314 -11.49  720
  45   7.47  160  -8.51  720
  46   6.39  194  -4.99  720
  47   2.21  353  -1.76  720
  48   6.40  325  -1.23  720
  49   6.70  128  -0.51  720
  50  16.12  197   8.93  720
  51  10.92  252  11.48  720
  52   6.25  346   4.07  720
  53   3.03  015   1.43  720
  54   3.43  051   1.53  720
  55  13.34  019   2.02  720
  56  13.21  340   0.93  720
  57   7.41  308   0.29  713
  58   8.71  221   3.73  720
  59  14.69  210   8.91  424
  60  10.14  282   5.01  720
  61  10.94  032  -1.29  720
  62   6.82  292  -4.71  720
  63   5.86  108  -0.62  720
  64   6.23  017  -0.14  720
  65   7.12  230   1.24  720
  66   6.98  205   3.79  720
  67  11.39  193  10.40  720
  68  10.43  196  15.46  720
  69   8.11  210  16.47  720
  70   4.20  342   7.14  720
  71   3.18  004   3.38  720
  72   3.04  130   4.64  720
  73   5.57  044   5.57  720
  74   3.11  003   6.04  727
  75   5.54  122   5.74  720
  76  12.74  225  10.91  720
  77  11.16  259  10.04  720
  78   7.01  313   5.69  720
  79   4.33  032   3.01  720
  80   6.88  016   2.41  720
  81   5.24  059   2.57  720
  82   9.24  199   9.92  720
  83   7.93  010   5.53  720
  84   9.04  355   3.61  720
  85   6.90  359   1.17  720
  86   5.75  126   3.91  720
  87   5.65  138   7.93  720
  88   7.32  325   6.54  720
  89   3.85  115   5.29  720
  90   9.18  159   9.08  720
  91  12.02  210  14.11  720
  92   5.16  029   6.13  720
  93  11.59  277   3.09  720
  94  10.38  240   5.76  720
  95  11.82  353   4.24  720
  96   6.49  070   1.19  720
  97  10.15  195   8.01  720
  98   8.77  325   4.80  720
  99   6.77  302   3.85  720
 100  10.41  353  -0.96  720
 101  12.60  172   4.03  720
 102   6.88  269   9.52  720
 103   4.95  019   3.78  720
 104   4.94  104   4.80  720
 105   4.76  096   6.37  720
 106   4.32  068   7.06  720
 107   3.34  021   8.74  720
 108   1.50  024  11.72  720
 109   2.24  101  13.27  720
 110   7.18  355   8.41  720
 111   6.46  101  10.79  720
 112   4.98  156  14.43  720
 113   9.18  322   9.03  720
 114   5.03  021   6.51  720
 115   5.43  122  10.32  720
 116   9.18  185  19.28  720
 117  10.28  345   9.89  720
 118   8.92  038   6.29  720
 119   7.73  053   6.99  720
 120   6.41  351   5.89  720
 121   7.53  062   6.74  720
 122   8.72  026   6.68  720
 123   7.61  007   7.35  720
 124   3.81  272  11.53  720
 125   9.92  331  10.32  720
 126  10.34  359   6.50  720
 127   2.70  229  14.90  720
 128   9.63  301  17.16  720
 129   3.66  041  12.48  720
 130   6.22  127  11.17  720
 131   7.88  106  10.38  720
 132   3.18  064  10.81  720
 133   4.34  321  13.97  720
 134   6.89  279  14.86  720
 135   9.26  318   8.07  720
 136   6.13  326   7.00  720
 137   8.92  219  14.11  720
 138   7.87  316  11.00  720
 139   5.29  358   9.18  720
 140   1.82  027  10.93  720
 141   2.74  058  12.32  720
 142   5.75  345  12.42  720
 143   4.74  321  14.82  720
 144   5.26  141  16.28  720
 145   7.12  191  22.23  720
 146   7.80  175  23.31  720
 147   5.99  186  20.86  720
 148   6.52  171  21.84  720
 149  10.33  185  21.82  720
 150   8.32  224  22.83  720
 151   4.18  237  22.34  720
 152   4.18  067  18.86  720
 153   3.58  120  17.76  720
 154   4.41  261  21.58  720
 155   3.04  093  18.82  720
 156   5.42  179  20.36  720
 157   7.57  261  20.61  720
 158   6.77  259  22.32  720
 159   6.83  352  15.79  720
 160   4.59  038  14.44  720
 161   5.50  157  17.20  720
 162   6.18  139  21.72  720
 163   6.85  240  27.85  720
 164   8.06  344  20.32  720
 165   4.34  059  17.22  720
 166   5.18  068  19.64  720
 167   5.80  161  22.73  720
 168   7.11  330  21.22  720
 169   6.92  352  17.71  720
 170   2.55  356  19.28  720
 171   4.10  176  24.55  720
 172   8.57  235  29.03  720
 173   4.33  351  22.28  720
 174   4.43  191  22.59  720
 175   5.23  024  19.53  720
 176   4.81  028  20.16  720
 177   4.96  144  23.15  720
 178   7.10  166  25.24  720
 179   6.79  277  26.88  720
 180   6.86  010  18.67  720
 181   4.71  027  19.01  720
 182   4.63  191  22.23  720
 183   8.16  343  19.63  720
 184   3.07  094  19.94  720
 185   4.25  116  20.43  720
 186   4.43  122  20.44  720
 187   3.72  237  23.76  720
 188   6.03  213  25.06  720
 189   4.94  198  25.10  834
 190   4.50  290  24.18 1145
 191   7.58  336  22.01  720
 192   3.80  030  21.94  720
 193   7.04  170  25.34  720
 194   9.93  205  27.36  720
 195   6.94  219  26.12  720
 196   9.17  246  24.66  720
 197   6.62  310  22.32  720
 198   4.94  034  19.87  720
 199   8.73  185  23.03  720
 200   5.98  207  24.39  720
 201   3.21  143  23.70  720
 202   3.60  155  25.30  720
 203   6.26  184  26.35  720
 204   4.92  213  25.59  720
 205   3.97  161  27.50  720
 206   8.74  190  25.48  720
 207   6.56  224  25.22  720
 208   1.95  103  24.84  720
 209   3.09  141  25.51  720
 210   4.09  093  24.88  720
 211   4.45  039  23.53  720
 212   6.41  058  22.38  720
 213   4.43  026  22.48  720
 214   3.39  062  23.35  720
 215   3.69  088  24.40  720
 216   3.29  131  25.61  720
 217   4.35  148  26.39  720
 218   4.69  260  25.84  720
 219   5.06  001  23.33  720
 220   3.16  017  23.74  720
 221   6.78  073  24.06  720
 222   5.59  127  24.65  720
 223   2.63  114  26.35  720
 224   5.84  191  27.91  720
 225   5.62  203  27.20  720
 226   4.81  248  25.17  720
 227   3.61  343  24.40  720
 228   5.35  152  24.11  720
 229   5.94  031  23.64  720
 230   4.47  210  25.65  720
 231   5.01  191  25.57  720
 232   6.18  204  24.34  720
 233   7.96  203  24.26  720
 234   6.66  289  20.01  720
 235   4.44  250  21.63  720
 236   7.00  190  22.83  720
 237   8.65  197  23.92  720
 238   4.73  226  24.22  720
 239   3.58  340  21.89  720
 240   5.61  120  23.64  720
 241   2.99  016  24.69  720
 242   3.85  060  24.16  720
 243   3.42  056  24.23  720
 244   7.49  344  22.52  720
 245   9.52  022  21.56  720
 246   8.02  059  20.79  720
 247   6.00  091  20.93  720
 248   5.63  128  21.98  720
 249   7.07  180  24.75  720
 250   7.86  203  28.21  720
 251   8.07  209  28.43  720
 252   7.46  240  25.59  720
 253   3.58  183  24.39  720
 254   6.14  275  21.76  720
 255   5.58  259  20.04  720
 256   7.00  180  21.71  720
 257   6.04  198  23.51  720
 258   6.40  028  20.92  720
 259   6.88  104  21.09  720
 260   8.96  164  22.71  720
 261   6.36  230  23.63  720
 262   3.57  330  21.43  720
 263   6.38  195  23.65  703
 264   4.89  030  22.83  720
 265   6.64  149  22.91  720
 266   4.14  158  23.38  720
 267   5.17  003  21.30  720
 268   6.31  073  20.20  720
 269   7.72  140  21.81  720
 270  10.13  267  19.55  720
 271   9.58  255  17.66  720
 272   8.87  348  14.32  720
 273  12.67  035  17.80  720
 274  11.01  046  17.62  720
 275   6.11  048  16.98  720
 276   4.21  318  16.08  720
 277   3.69  334  16.63  720
 278   6.04  131  18.24  720
 279   7.84  176  21.36  720
 280   3.78  157  20.51  720
 281   7.63  224  19.60  720
 282   5.79  330  12.32  720
 283   5.87  121  14.52  720
 284   6.63  126  15.46  720
 285   7.03  176  18.57  720
 286   9.79  207  18.27  720
 287   6.48  337   9.75  720
 288   5.04  173  13.87  720
 289  10.84  190  16.54  720
 290   8.60  202  20.31  720
 291  11.05  185  21.79  720
 292  11.58  220  22.35  630
 293   3.03  322  16.73  720
 294   9.30  359  14.45  720
 295  11.26  345  10.22  720
 296   5.89  278  10.21  720
 297   8.15  232  15.97  720
 298   8.32  353  12.19  720
 299   5.72  102  11.08  720
 300  12.30  128  10.49  720
 301   6.93  317   9.75  720
 302   7.42  195  11.18  720
 303  10.03  233  19.24  720
 304   7.74  022  12.87  720
 305   7.16  128  11.23  720
 306   9.41  205  19.28  720
 307   3.37  211  17.34  720
 308   4.50  358  12.48  720
 309   4.38  055  12.86  720
 310   6.42  227  15.48  720
 311   6.00  214  15.86  720
 312   4.47  173  15.31  720
 313   7.46  244  14.90  720
 314   8.03  347  10.90  720
 315   8.84  249  12.76  720
 316  11.45  341  12.06  720
 317   6.02  227   8.59  720
 318   8.79  220   9.60  720
 319   7.90  214  11.57  720
 320   3.24  286  11.11  720
 321   3.47  308  10.85  720
 322   9.71  170  14.39  720
 323  12.51  200  17.49  720
 324  13.76  281   4.25  720
 325   8.49  318  -0.28  720
 326   5.01  324   1.34  720
 327   5.84  099   3.85  717
 328   9.82  158   5.79  720
 329   6.62  270   5.81  720
 330   5.87  272   4.09  720
 331   6.51  250   4.96  720
 332   9.18  195   4.98  720
 333  13.69  179   7.96  720
 334  10.89  200  10.89  720
 335   7.48  238   6.90  720
 336   9.48  251   4.15  720
 337   6.76  289   4.06  720
 338   4.29  290   1.81  720
 339   3.32  186   1.68  720
 340   6.94  234   1.44  720
 341   6.32  149   3.59  720
 342  10.27  258  -1.46  720
 343  12.55  272  -4.95  720
 344   8.21  282  -3.84  720
 345   6.46  259  -4.97  720
 346   9.57  179  -1.45  720
 347   8.12  257  -2.26  720
 348   6.75  268  -6.08  720
 349  10.58  262  -9.38  720
 350  10.66  276 -13.47  720
 351   8.21  203  -8.66  709
 352   5.64  275  -4.46  670
 353   9.45  301  -9.38  720
 354   8.56  232 -14.68  720
 355  12.36  213  -5.14  720
 356   7.74  219  -0.55  720
 357   7.20  273   2.82  720
 358   7.01  198   1.15  720
 359   4.73  236   2.32  720
 360   6.71  136   1.55  720
 361  11.12  194   7.88  720
 362  10.62  268  -1.08  720
 363   7.99  211   1.19  720
 364  11.94  269   2.15  720
 365   9.39  273  -0.45  720
 366  12.33  236   3.26  716
