Input file=chi2019.04t.txt
WS=Wind Speed (m/s)
WD=Wind Dir (deg)
AT=Air Temp (C)

Year=2019
Min WS=      0.00000  Max WS=      24.0000
Min WD=      0.00000  Max WD=      360.000
Min AT=     -99.0000  Max AT=      34.7000

 Daily Averages
 DOY    WS    WD    AT     n
 199   6.83  168  25.06  720
 200   7.45  213  29.73  720
 201   9.61  190  28.11  720
 202   6.61  359  21.69  720
 203   9.53  356  20.76  743
 204   5.16  341  20.53  743
 205   2.92  004  20.80  720
 206   4.27  163  22.45  720
 207   6.23  179  24.19  720
 208   9.07  206  26.09  720
 209   7.53  227  27.52  720
 210   7.34  215  25.44  720
 211   5.72  333  22.45  720
 212   6.69  018  20.34  720
 213   4.56  021  21.30  720
 214   3.69  054  22.32  720
 215   2.32  077  22.70  720
 216   3.15  020  23.16  720
 217   3.02  182  25.72  720
 218   5.78  315  23.92  720
 219   3.48  179  24.12  720
 220   6.02  296  24.57  720
 221   4.06  011  22.46  720
 222   3.72  145  23.20  711
 223   5.74  169  24.27  720
 224   3.39  340  24.24  711
 225   4.84  018  23.27  720
 226   4.36  354  23.03  720
 227   7.11  005  21.66  720
 228   5.29  163  22.96  720
 229   3.83  219  24.38  720
 230   6.47  204  24.28  720
 231   3.07  002  24.42  720
 232   2.99  148  24.52  720
 233   4.02  264  24.52  720
 234   5.55  030  22.99  720
 235   7.72  045  20.91  720
 236   7.94  079  20.65  711
 237   8.59  113  21.17  720
 238   9.57  136  21.91  720
 239   6.81  251  22.80  720
 240   8.98  264  21.37  720
 241   8.09  237  22.45  720
 242   5.94  334  20.77  720
 243   7.31  071  19.71  720
 244   5.47  092  19.23  720
 245   3.06  277  20.87  720
 246   9.00  202  23.06  713
 247   7.13  324  19.62  720
 248   4.00  040  17.85  728
 249   6.54  239  19.22  720
 250   5.28  332  19.27  720
 251   5.65  074  18.67  720
 252   5.30  111  18.70  720
 253   8.18  176  24.28  720
 254   5.54  206  27.22  720
 255   4.26  022  21.20  720
 256   8.65  197  22.32  720
 257   5.49  241  20.15  720
 258   8.05  193  21.81  720
 259   4.66  330  20.13  720
 260   3.08  049  19.31  720
 261   5.99  125  20.78  720
 262   4.79  142  21.35  720
 263   3.22  142  22.22  720
 264   8.18  190  23.80  720
 265  10.56  202  22.40  720
 266   6.49  290  19.72  720
 267   6.66  239  21.25  720
 268  10.25  228  21.42  720
 269   6.94  293  18.75  720
 270   9.16  188  17.84  720
 271   7.80  324  15.35  720
 272   8.07  086  17.09  720
 273   5.29  165  21.93  720
 274   6.88  203  26.03  720
 275   8.58  310  17.00  720
 276   5.81  290  16.72  720
 277   7.45  358  12.47  720
 278   7.50  125  13.13  720
 279   7.14  254  15.78  720
 280   6.67  266  16.20  720
 281   4.63  142  14.76  720
 282   5.58  130  15.24  720
 283   6.15  130  15.68  720
 284   8.24  196  15.13  720
 285  11.13  233   6.85  720
 286   9.22  246   9.40  720
 287   5.79  270   8.12  720
 288   7.72  179  12.74  720
 289  11.28  298  10.12  720
 290   6.00  330   8.71  720
 291   4.81  128   9.93  720
 292   7.38  166  13.05  720
 293   4.17  333  12.81  720
 294   9.19  126  13.55  720
 295  12.57  225  11.07  720
 296   8.18  224  10.16  720
 297   5.69  356   8.76  720
 298   2.71  027   8.03  720
 299   6.96  101   8.18  720
 300   9.85  276  10.17  720
 301   4.11  300   9.75  720
 302   6.00  347   5.56  720
 303   7.94  020   4.44  720
 304  14.15  336   3.10  720
 305   8.90  226   1.40  720
 306   8.19  256   4.38  720
 307   7.70  220   5.46  720
 308   8.75  230   9.63  720
 309   7.84  275   4.63  720
 310   7.33  245   4.87  720
 311   9.82  327  -0.86  720
 312   6.67  283  -3.39  720
 313   9.20  208   1.64  720
 314   5.71  313   6.21  720
 315  11.85  351   0.13  720
 316   9.74  301  -8.86  720
 317  10.41  204  -7.39  720
 318   5.97  261  -1.81  720
 319   5.58  276  -1.11  720
 320   6.28  097   3.17  720
 321   6.86  163   1.92  720
 322   3.55  257   3.10  720
 323   2.27  159   3.17  720
 324   2.74  203   5.20  720
 325  11.60  195   8.04  720
 326   6.66  332   2.09  720
 327   4.50  214   1.35  720
 328   6.94  236   4.77  720
 329   6.62  202   7.84  720
 330   4.78  341   6.67  720
 331  13.44  222   7.18  720
 332   8.79  318   1.74  720
 333   3.52  082   3.33  720
 334   9.58  112   3.50  720
 335   7.69  183   4.36  720
 336   9.97  320   0.65  688
 337   7.83  224   1.01  720
 338  10.46  276   3.58  720
 339   5.47  250   3.80  720
 340   8.96  328   4.12  720
 341   5.67  182   1.21  720
 342  10.31  194   4.70  720
 343   7.10  211   8.38  720
 344  10.47  269  -4.79  720
 345   7.31  264  -7.01  720
 346   9.91  183  -0.33  720
 347   7.49  189   4.47  720
 348   4.40  305   2.18  720
 349   5.79  266  -3.84  720
