DOY,WS,WD,AT,n
1,8.98,291,-16.92,720
2,7.66,257,-16.61,720
3,10.20,256,-10.23,720
4,8.15,316,-11.92,720
5,8.22,313,-13.03,720
6,6.21,306,-12.13,720
7,11.95,196,-6.99,720
8,8.92,241,1.57,720
9,5.62,221,0.23,720
10,9.42,175,3.18,720
11,14.19,205,12.83,720
12,13.72,331,-3.37,720
13,9.98,332,-9.35,720
14,5.68,248,-9.50,720
15,10.75,195,-6.61,720
16,9.08,282,-8.44,720
17,8.05,275,-7.50,720
18,9.33,228,-4.28,720
19,10.53,206,1.34,720
20,8.96,217,5.07,720
21,5.68,163,4.49,720
22,8.41,152,7.11,720
23,8.99,282,2.21,711
24,4.95,309,-1.58,720
25,6.77,195,0.23,720
26,10.81,185,5.84,720
27,12.29,241,8.98,720
28,5.76,318,3.35,720
29,11.48,348,-2.08,720
30,6.07,269,-5.00,727
31,12.93,211,1.97,720
32,9.56,291,-1.78,720
33,7.69,289,-11.32,720
34,9.88,209,-2.64,720
35,11.61,289,-2.45,720
36,6.41,267,-12.54,720
37,5.30,310,-9.64,720
38,5.71,314,-7.12,720
39,5.32,262,-8.71,720
40,6.62,063,-4.04,720
41,9.38,349,-4.70,720
42,6.41,346,-4.72,720
43,6.77,321,-7.39,720
44,4.29,122,-4.19,720
45,7.61,193,1.95,720
46,5.62,199,5.45,720
47,7.47,331,1.91,720
48,5.91,223,-2.51,720
49,7.53,214,-0.93,720
50,9.11,178,6.20,720
51,11.26,212,14.64,720
52,7.76,337,-0.03,720
53,8.20,044,0.53,720
54,7.55,180,3.72,720
55,6.34,033,2.20,720
56,12.24,229,4.24,720
57,7.53,233,6.02,720
58,9.20,199,9.94,720
59,8.90,225,9.66,720
60,9.00,353,2.41,720
61,5.55,354,1.68,720
62,3.68,057,1.50,720
63,7.35,089,2.17,720
64,10.23,106,2.23,720
65,7.59,167,2.21,720
66,9.09,317,-0.49,720
67,7.64,305,-2.10,720
68,4.97,320,-1.13,720
69,3.74,085,0.49,720
70,6.33,054,0.94,720
71,5.03,328,2.17,727
72,8.16,341,0.21,720
73,7.92,283,0.17,720
74,6.23,346,3.57,720
75,6.99,037,-0.42,720
76,7.14,058,1.49,720
77,4.17,247,5.04,720
78,7.32,049,3.48,720
79,12.61,029,0.12,720
80,10.12,013,0.25,720
81,5.43,004,0.92,720
82,4.72,041,1.70,720
83,10.14,073,1.93,720
84,9.95,061,0.32,728
85,8.00,105,3.00,688
86,7.60,225,8.75,628
87,2.62,025,4.47,600
88,4.36,005,4.14,652
89,6.51,020,2.43,680
90,9.93,217,7.32,669
91,6.74,353,-0.22,645
92,4.82,255,0.20,618
93,7.78,066,3.24,656
94,10.74,299,0.11,666
95,6.06,251,0.30,720
96,8.52,265,1.90,730
97,5.79,349,-2.74,715
98,4.18,045,-0.53,715
99,4.76,063,0.63,720
100,3.93,272,2.44,715
101,7.91,220,7.12,715
102,7.57,266,11.00,715
103,6.54,355,4.44,728
104,11.44,022,3.66,718
105,9.56,042,2.03,720
106,9.62,291,-0.40,720
107,8.00,318,0.78,720
108,6.91,060,1.76,720
109,8.19,355,2.99,720
110,3.91,352,5.78,720
111,1.50,037,4.80,720
112,3.54,005,5.53,720
113,6.10,010,5.96,720
114,4.35,348,5.98,720
115,8.16,351,4.89,720
116,3.39,000,6.32,720
117,7.68,026,7.62,720
118,10.00,006,3.96,720
119,4.26,031,4.10,728
120,6.48,177,11.93,720
121,10.47,203,20.64,720
122,11.73,217,23.80,720
123,3.94,073,11.93,720
124,8.65,204,15.69,720
125,4.48,218,20.81,720
126,5.17,345,10.53,720
127,4.57,025,10.44,720
128,6.28,168,18.52,720
129,8.48,171,18.66,720
130,6.64,310,16.46,720
131,8.46,048,8.54,720
