DOY,WS,WD,AT,n
223,5.99,024,20.82,291
224,7.73,313,18.66,288
225,5.16,292,19.78,288
226,5.08,042,17.89,288
227,4.08,167,18.86,288
228,5.95,219,22.33,288
229,5.76,326,20.13,288
230,4.35,019,19.23,288
231,7.60,211,24.55,288
232,4.79,251,24.65,288
233,4.77,193,23.39,285
234,4.24,167,23.75,292
235,3.55,072,22.45,288
236,4.92,098,22.56,288
237,5.98,149,23.89,288
238,3.56,226,23.15,288
239,3.38,044,21.18,288
240,6.09,064,20.14,288
241,7.82,148,22.83,288
242,9.69,202,24.50,288
243,5.30,198,24.08,288
244,8.62,201,24.46,288
245,4.20,267,22.67,288
246,3.55,183,22.87,288
247,9.57,189,23.76,288
248,9.52,215,24.88,285
249,6.26,340,18.08,288
250,3.66,205,19.54,288
251,4.51,146,20.17,288
252,5.71,167,20.92,288
253,10.02,191,22.00,288
254,8.78,326,11.53,288
255,8.75,008,11.84,288
256,7.34,324,8.51,288
257,3.72,191,13.57,288
258,4.60,209,15.19,288
259,5.00,347,13.01,288
260,4.07,131,15.31,288
261,3.90,012,15.87,288
262,7.20,144,17.17,288
263,9.70,203,20.02,288
264,9.81,285,17.62,288
265,6.89,002,12.85,256
266,5.80,099,17.40,2
267,4.72,121,17.16,288
268,3.55,131,17.85,288
269,2.66,097,17.64,288
270,2.45,079,17.83,288
271,2.00,359,17.30,288
272,2.58,205,19.46,288
273,9.30,006,12.30,288
274,6.80,114,14.23,288
275,6.07,148,18.22,288
276,10.28,238,15.52,288
277,11.32,263,6.55,288
278,8.37,237,8.77,288
279,7.61,227,12.48,288
280,9.30,234,14.03,288
281,8.46,270,13.96,288
282,5.65,328,12.66,288
283,4.04,053,11.68,288
284,4.55,068,11.77,288
285,7.58,121,12.25,288
286,5.93,149,15.16,288
287,8.03,142,16.36,288
288,8.77,334,12.01,288
289,6.54,296,12.21,288
290,9.36,241,13.37,288
291,10.11,329,9.61,288
292,5.91,247,8.70,288
293,8.64,259,11.84,288
294,10.05,350,10.45,288
295,4.39,073,9.29,285
296,6.18,171,10.17,281
297,4.37,181,13.24,285
298,6.91,258,16.96,285
299,6.03,332,12.55,285
300,9.48,162,16.16,285
301,11.47,239,15.89,285
302,8.01,280,8.70,285
303,4.33,252,8.27,285
304,14.28,315,6.01,285
305,12.33,011,3.69,285
306,5.85,199,5.41,285
307,11.10,194,10.72,288
308,12.27,221,12.76,288
309,7.06,222,9.26,289
310,11.90,269,8.58,288
311,7.49,269,4.11,288
312,9.81,246,6.54,288
313,8.50,238,5.97,288
314,7.65,179,10.11,288
315,9.83,237,9.68,288
316,9.17,285,-1.15,288
317,8.33,288,-3.00,288
318,5.89,289,-3.09,288
319,4.71,251,-2.83,288
320,6.54,215,-1.50,288
321,10.04,266,-6.63,276
322,12.63,261,-10.00,286
323,11.14,224,-4.86,288
324,11.22,269,-4.89,288
325,7.60,252,-5.20,288
326,11.28,193,3.48,288
327,10.36,179,9.43,288
328,8.86,220,5.66,288
329,9.59,256,-3.86,288
330,4.20,155,-3.77,288
331,6.78,315,-3.07,288
332,7.13,213,-4.72,288
333,10.92,183,3.76,288
334,9.89,227,7.73,288
335,8.81,333,-4.76,288
336,8.23,143,-2.77,288
337,8.05,248,-0.34,288
338,5.26,005,-0.69,288
339,4.67,145,1.29,288
340,8.17,006,2.78,288
341,7.66,107,1.46,288
342,7.94,182,1.56,288
343,9.26,322,1.95,288
344,9.00,334,0.17,288
345,6.22,288,-1.67,288
346,6.61,272,-1.22,288
347,5.50,247,4.49,288
348,6.98,205,8.78,288
349,8.18,171,6.08,288
350,6.20,220,4.91,286
351,8.39,292,-2.15,288
352,3.85,294,-3.84,288
353,3.70,308,-1.26,288
354,4.01,198,-0.01,288
355,7.26,178,0.76,288
356,8.34,146,1.26,288
357,8.69,169,6.05,288
358,4.10,308,4.36,288
359,8.96,242,2.67,288
360,10.32,194,5.25,288
361,10.52,209,6.81,288
362,5.91,275,-0.88,288
363,6.12,340,-0.89,288
364,7.22,327,-6.76,288
365,9.36,262,-11.02,286
