Input File=/chi/archive/chi2023.04t.avg
WS=Wind Speed (m/s)
WD=Wind Dir (deg)
AT=Air Temp (C)

Year=2023
Min WS =    0.0 m/s   Max WS =   27.8 m/s
Min WD =    0.0 deg   Max WD =  360.0 deg
Min AT =  -16.0 C     Max AT =   36.6 C

 Daily Averages
 DOY    WS    WD    AT     n
 201   7.21  229   25.57  719
 202   6.66    5   21.33  719
 203   3.46  188   22.71  719
 204   4.63  191   21.88  719
 205   3.31  175   23.79  719
 206   4.75  157   24.63  719
 207   6.63  162    25.3  719
 208   3.12   39   24.81  719
 209   5.56  170   26.44  719
 210   7.63  352   22.67  719
 211   3.89  355    22.7  719
 212   3.18   71   22.81  719
 213   4.95  151   23.97  719
 214   6.41  180   24.81  719
 215   3.51  163   24.48  719
 216   4.53   25   24.51  719
 217    7.6   79   23.43  719
 218  11.24   40    20.5  719
 219   7.54   14   21.08  719
 220   4.41  266   23.21  719
 221   4.76  247   23.63  719
 222   4.26  257   23.04  719
 223   6.69  237   25.13  719
 224   6.35  228   24.19  719
 225   5.29  331   23.03  719
 226   6.03   76   21.85  719
 227  11.19  351   20.24  719
 228   5.07  243   22.57  719
 229   11.7  240   22.54  719
 230   6.05  339   20.27  719
 231   8.19  182   21.96  719
 232   4.54  175   24.63  719
 233   6.57   17   22.29  719
 234   5.55   77   22.61  719
 235    8.2  202    28.8  719
 236   9.22  244   32.02  719
 237   6.09    9   23.03  719
 238   7.49   36   21.86  719
 239   9.03   46   19.72  719
 240   4.36   94    21.4  719
 241    7.5  214   22.73  719
 242   10.5   10   18.51  719
 243   5.89   77   19.26  719
 244   7.07  134   20.99  719
 245   6.38  205   24.46  719
 246   8.47  221   27.38  719
 247    7.3  197   27.34  719
 248   8.96  187   27.23  719
 249   9.82  211   24.68  719
 250   8.77  335   20.01  719
 251   8.21    5   18.16  719
 252   6.29   18   18.83  719
 253   4.05   80   19.92  719
 254   5.65  193   19.82  719
 255   7.32  344   16.86  719
 256    4.3   49   17.25  719
 257   3.76   68   17.89  719
 258   4.82  139   19.67  719
 259    5.4  185    20.2  719
 260   6.92  352   18.78  904
 261   6.34    8   17.89  719
 262   7.25  166   17.73  719
 263   7.91  172   20.93  719
 264   2.79  139   21.47  719
 265   4.46  120   21.57  719
 266   7.19  114   21.19  719
 267   8.48  119   19.85  719
 268   7.24  110   20.31  719
 269   9.04  113    19.9  719
 270   9.43  117   19.13  719
 271   6.32   62   18.75  719
 272   4.55  119   18.61  719
 273   6.16  147   19.51  719
 274   4.42  145    20.5  719
 275   4.48  149   21.47  719
 276   5.54  157   22.56  719
 277   8.48  190    23.9  719
 278   5.86  222   20.59  719
 279   9.06  265   14.68  719
 280  10.57  297   10.88  719
 281   7.04  312   10.95  719
 282   7.31  305   11.22  719
 283   7.06  272   11.65  719
 284   5.13  252   13.61  712
 285   6.85   94   14.34  719
 286  12.86  107   14.79  719
 287   14.2   66   13.37  719
 288  11.46  353   12.15  719
 289  11.17  348    12.7  719
 290   4.32  267   12.84  719
 291   7.78  187    14.6  719
 292   8.51  209   15.14  719
 293   8.63  302   13.45  719
 294   6.25  269   13.72  719
 295   8.67  344   10.29  719
 296   6.97  164   12.94  719
 297  11.45  201   20.05  719
 298   9.44  199   18.67  719
 299   10.0  197    19.4  719
 300  10.23  215   19.05  719
 301   8.89  338    9.05  719
 302    9.4   31   10.72  719
 303   9.58  308     4.9  718
 304   8.72  257    2.36  716
 305   8.58  284    3.14  717
 306  10.03  206    6.91  718
 307  12.07  209   11.23  717
 308   5.15  356   12.25  718
 309   4.65  231   11.44  718
 310  11.73  209   15.84  719
 311   7.91  339    12.3  717
 312   9.05  114    11.2  718
 313   9.08  294   10.88  717
 314   7.79  272    8.98  717
 315   4.63  297    7.38  717
 316  10.09  180    10.3  717
 317   9.42  266   12.81  716
 318   5.72  235   12.51  716
 319   7.87  213   13.49  717
 320   8.33  199   15.11  717
 321  10.49  308   12.75  719
 322   5.64  272    8.05  716
 323   5.43  323    9.84  717
 324  11.59   94    9.19  717
 325   9.39   46     7.2  716
 326   7.36  292    5.98  717
 327   9.06  265    5.44  717
 328  10.23    0    3.48  716
 329   4.58  198    1.65  716
 330   5.48  219    2.04  718
 331   10.9  273   -1.97  717
 332   9.39  279   -5.94  717
 333   9.11  224   -0.47  717
 334   9.04  212    7.05  716
 335   5.35   69    7.69  717
 336   5.15   26    6.31  716
 337    5.7  207    5.39  716
 338   6.18  308    3.99  717
 339   5.84  236    3.95  716
 340   7.88  283    3.22  718
 341   9.61  200    6.11  716
 342   11.9  195   10.21  716
 343  11.85  218   10.66  718
 344  10.11  282     2.7  716
 345   5.37  269    0.33  716
 346   9.81  250    3.16  717
 347   5.81  271    1.76  716
 348    6.8  240    6.63  718
 349   7.49  191    8.41  719
 350   6.52  157     7.4  718
 351   7.43  222    7.03  720
 352  12.49  301    1.59  716
 353    8.3  261    -3.8  717
 354   7.31  178    2.38  781
 355   4.48  105    5.37 1335
 356   5.13  155    5.89  717
 357   2.55  103    6.51  717
 358   5.19  156    8.45  718
 359   7.56  134    8.95  716
 360   7.37  190    6.71  718
 361   5.43   59    4.53  718
 362  10.27  353    4.64  719
 363   9.39    4     5.2  719
 364    6.7  252     1.5  719
 365   7.16  271     1.8  715
