Input file=chi2017.04t.txt
WS=Wind Speed (m/s)
WD=Wind Dir (deg)
AT=Air Temp (C)

Year=2017
Min WS=      0.00000  Max WS=      25.0000
Min WD=      0.00000  Max WD=      360.000
Min AT=     -17.8000  Max AT=      33.6000

 Daily Averages
 DOY    WS    WD    AT     n
   1   5.09  231  -0.28  720
   2   5.13  101   3.13  720
   3   4.99  009   3.63  720
   4  11.22  281  -6.67  720
   5   8.66  280 -11.64  720
   6   7.09  286 -14.16  720
   7   6.81  282 -12.59  720
   8   7.61  280 -11.08  720
   9  10.90  196  -4.72  720
  10  14.92  191   3.98  720
  11  11.44  218   0.99  720
  12   7.74  330  -1.96  720
  13   7.52  346  -4.30  720
  14   4.22  085  -0.99  720
  15   2.62  296  -0.93  720
  16   4.01  130   0.99  720
  17   5.59  252   3.89  720
  18   7.07  252   2.43  720
  19   6.24  171   2.40  720
  20   4.84  093   3.25  720
  21   6.16  173   8.38  720
  22   3.19  347   6.03  720
  23   6.23  342   2.57  720
  24   4.48  336   3.01  720
  25   7.50  131   3.36  720
  26   9.10  282   1.57  720
  27   9.01  271  -1.31  720
  28   8.92  273  -2.08  720
  29   6.42  300  -2.23  720
  30   8.10  278  -4.33  720
  31  10.62  264   3.20  720
  32   7.74  280   2.43  720
  33   8.77  294  -5.38  720
  34   7.96  296  -6.33  720
  35   8.55  228  -3.11  720
  36   8.75  251   1.17  720
  37   5.31  171   2.29  720
  38   6.98  166   6.72  720
  39   8.91  328  -0.11  713
  40   8.29  305  -6.61  713
  41  10.36  207  -2.69  713
  42   4.62  265   5.98  713
  43   9.40  317   3.96  713
  44   6.98  273   2.81  675
  45   9.68  252   5.79  713
  46   9.12  331   1.00  713
  47   5.26  019   0.46  713
  48   5.72  165   6.84  720
  49   7.20  211  12.62  720
  50   2.27  279  10.39  720
  51   6.20  152   8.12  720
  52   6.72  202  13.59  720
  53   7.51  196  13.01  720
  54   7.76  307  10.17  720
  55   7.99  351   3.26  720
  56   8.87  289  -1.32  720
  57   9.49  234   0.77  720
  58   6.79  186   4.86  720
  59   9.31  168   8.48  720
  60   8.51  278   7.16  720
  61   7.90  316  -0.25  720
  62   7.39  333  -3.12  720
  63   7.60  141  -0.04  720
  64  11.32  161   4.94  720
  65  12.86  194  11.39  720
  66  14.48  230  11.78  720
  67  14.08  244   8.21  720
  68   6.90  351   3.66  720
  69   9.26  349  -0.94  720
  70   7.23  346  -5.36  720
  71   4.63  002  -3.03  720
  72   8.30  105  -1.89  720
  73   9.35  034  -2.99  720
  74   9.45  319  -3.95  720
  75   5.35  259  -0.76  720
  76   6.68  167   3.12  720
  77   8.18  304   5.08  720
  78   4.46  037   3.45  720
  79   6.82  129   5.57  720
  80   6.47  348   4.58  720
  81   8.79  036  -0.79  720
  82   7.64  134   1.94  720
  83  10.33  199  13.01  720
  84   7.23  355   4.18  720
  85   4.74  130   8.58  720
  86   3.73  352   7.27  720
  87   6.63  352   3.66  720
  88   5.94  027   3.04  720
  89   8.86  068   4.96  720
  90  11.09  007   3.54  720
  91   5.43  354   4.67  720
  92   5.02  158   8.43  720
  93   5.45  070   6.63  720
  94   5.77  324   7.47  720
  95   8.05  063   5.73  720
  96  15.23  358   4.55  720
  97   9.62  347   4.89  720
  98   7.56  190   9.64  720
  99  12.46  187  16.21  720
 100  13.55  208  18.83  720
 101   6.19  319   6.70  720
 102   3.63  013   7.36  721
 103   5.62  075   7.26  720
 104   4.82  063   7.58  720
 105  10.37  199  19.13  720
 106   9.26  251  19.53  720
 107   4.77  340  12.72  720
 108   6.33  145  11.16  720
 109   7.04  252  16.53  711
 110   7.94  198  12.10  720
 111   8.85  330   8.97  720
 112   7.21  014   7.03  720
 113   3.05  138  11.00  713
 114   3.49  007   8.07  713
 115   7.05  136  14.25  713
 116   8.66  174  18.53  713
 117   9.24  216  12.40  713
 118   5.09  201   8.13  713
 119  10.78  011   6.48  713
 120  10.08  031   6.46  713
 121   8.47  217  10.29  713
 122  10.98  258   7.95  720
 123   4.36  355   8.53  720
 124   5.94  044   7.89  720
 125  10.92  357   6.87  720
 126   8.61  345   7.72  720
 127   7.23  008   6.90  720
 128   3.97  056   5.70  720
 129   3.65  088   7.16  720
 130   3.07  010   8.82  720
 131   6.48  021   8.76  720
 132   3.58  356   9.93  720
 133   4.33  276  16.03  720
 134   4.76  357  11.77  720
 135   4.82  060  12.03  720
 136   9.03  173  21.63  720
 137  13.29  198  24.29  720
 138  13.12  228  22.92  720
 139  11.57  023   7.68  720
 140   7.76  070  10.10  720
 141   6.95  212  15.35  720
 142   8.29  238  14.74  720
 143   7.50  206  15.88  720
 144   7.91  010  11.56  720
 145  10.18  344  10.78  720
 146   4.51  025  13.29  720
 147   4.61  017  12.31  720
 148   2.24  086  14.07  720
 149   7.57  253  21.05  720
 150   7.07  269  18.85  720
 151   5.46  273  17.98  720
 152   4.49  310  16.56  720
 153   5.73  149  19.99  720
 154   4.58  162  20.85  720
 155   5.72  240  26.13  720
 156   6.25  343  17.57  720
 157   8.70  350  13.45  720
 158   5.82  006  14.36  720
 159   3.38  088  17.79  720
 160   5.67  248  20.98  720
 161   8.51  211  22.58  720
 162  11.10  206  26.16  675
 163  10.08  209  28.13  720
 164   3.83  001  20.80  720
 165   5.32  137  21.66  694
 166   6.48  188  22.90  720
 167   6.75  203  24.02  720
 168   6.90  194  24.52  720
 169   7.34  247  22.48  720
 170   5.46  289  21.09  720
 171   6.63  271  19.41  720
 172   3.08  072  18.29  720
 173   7.71  193  24.47  720
 174   6.68  254  22.42  720
 175   8.26  287  20.79  720
 176   7.81  279  18.32  720
 177   7.83  287  17.97  720
 178   5.26  306  17.70  720
 179   9.22  185  20.43  720
 180   9.30  213  23.68  720
 181   4.69  188  21.24  720
 182   4.99  260  22.66  720
 183   5.08  260  23.94  720
 184   4.87  358  20.20  720
 185   4.18  024  20.39  720
 186   4.04  105  22.40  720
 187   3.63  150  24.50  727
 188   6.18  302  25.29  720
 189   5.71  006  19.85  720
 190   5.34  195  23.27  720
 191   6.63  151  23.77  720
 192   3.37  354  22.41  720
 193   7.30  188  24.20  720
 194   6.68  242  25.41  720
 195   5.94  337  21.28  720
 196   3.64  337  20.61  720
 197   7.23  323  21.82  720
 198   5.97  008  19.35  720
 199   2.70  101  21.50  710
 200   4.89  306  24.62  720
 201   5.23  193  23.33  720
 202   3.30  124  24.70  720
 203   5.61  131  23.76  720
 204   1.95  139  25.15  720
 205   7.60  004  21.14  720
 206   5.56  107  21.90  720
 207   6.18  174  23.89  720
 208   6.61  349  23.44  720
 209   8.45  011  22.10  720
 210   8.53  040  21.33  720
 211   4.81  007  22.04  720
 212   2.96  130  23.36  720
 213   3.04  129  23.93  720
 214   3.97  185  24.42  711
 215   5.02  084  23.58  720
 216  10.48  264  17.79  720
 217   5.69  255  20.28  720
 218   4.33  194  22.67  720
 219   5.74  358  21.19  720
 220   4.32  331  21.54  720
 221   3.69  172  23.12  720
 222   6.06  191  24.15  720
 223   5.59  293  22.21  720
 224   6.03  338  19.75  720
 225   2.94  029  20.82  720
 226   3.59  124  22.42  720
 227   4.87  335  22.99  720
 228   4.84  077  22.97  716
 229   9.01  204  25.56  609
 230   7.15  274  23.74  665
 231   4.04  005  22.27  720
 232   4.97  160  24.13  720
 233   5.71  182  25.31  720
 234   9.30  254  24.18  720
 235   6.47  333  20.64  711
 236   5.42  337  19.62  720
 237   4.69  074  18.68  720
 238   6.35  124  20.53  720
 239   7.36  163  21.42  720
 240   5.34  154  21.36  720
 241   3.22  050  21.31  720
 242   3.33  012  21.07  720
 243   8.81  014  20.50  720
 244   9.66  068  17.66  720
 245   4.80  088  18.32  720
 246   4.29  211  19.79  720
 247  10.04  236  23.82  720
 248   8.23  301  17.96  720
 249   7.27  325  14.48  720
 250   6.46  291  16.32  720
