DOY,WS,WD,AT,n
1,10.20,232,-6.06,288
2,5.36,261,-2.02,288
3,4.54,132,0.31,288
4,7.71,314,-1.56,288
5,9.56,271,-15.49,288
6,7.63,268,-13.01,288
7,12.18,296,-15.07,288
8,11.97,227,-17.60,288
9,12.10,274,-12.41,288
10,10.17,234,-13.23,288
11,9.33,199,-3.06,288
12,9.32,316,-3.95,288
13,6.92,062,-7.57,288
14,4.64,207,-9.08,288
15,7.67,217,-4.66,288
16,5.85,295,-0.97,288
17,11.87,180,2.16,288
18,8.65,265,3.18,288
19,4.40,307,1.10,288
20,3.92,109,0.74,288
21,5.59,352,-0.18,317
22,4.59,313,-0.88,288
23,7.19,235,-1.01,288
24,7.08,247,1.06,285
25,7.75,016,-0.23,288
26,5.24,090,-4.18,288
27,4.53,080,-2.84,288
28,6.00,154,-2.17,288
29,9.35,234,1.14,288
30,8.47,343,-2.88,288
31,5.53,228,-1.26,288
32,10.06,066,-1.55,288
33,11.41,329,-7.66,288
34,6.55,218,-8.47,288
35,5.93,334,-5.15,288
36,7.37,282,-10.23,291
37,8.22,208,-6.63,291
38,7.55,187,0.69,288
39,6.70,280,2.94,288
40,9.30,010,-2.49,288
41,6.00,049,-3.16,288
42,8.53,233,-0.51,288
43,10.94,319,-8.16,288
44,7.35,247,-9.70,288
45,12.41,298,-6.90,288
46,8.46,315,-13.75,288
47,3.85,129,-11.77,288
48,6.13,265,-8.39,288
49,10.14,292,-12.95,288
50,9.19,304,-17.90,288
51,8.74,216,-13.73,288
52,5.91,200,-6.00,288
53,5.98,321,-5.59,288
54,6.54,301,-13.80,288
55,11.39,218,-10.11,288
56,7.03,353,-4.79,288
57,9.43,020,-7.57,288
58,5.84,292,-11.37,288
59,4.86,209,-10.93,288
60,4.17,202,-5.90,288
61,6.59,295,-5.38,288
62,7.89,185,-1.58,288
63,7.77,294,-3.59,288
64,6.90,307,-9.57,288
65,9.39,221,-9.46,288
66,9.61,232,1.09,288
67,5.86,255,2.74,288
68,5.61,219,4.81,288
69,5.71,189,5.41,288
70,6.53,305,4.97,288
71,3.90,104,3.09,288
72,5.18,146,5.41,288
73,6.19,259,7.95,288
74,4.50,178,6.50,288
75,11.25,235,15.44,288
76,10.01,004,3.61,288
77,3.46,201,2.73,288
78,4.45,105,2.85,288
79,5.17,182,4.90,288
80,7.93,279,4.25,288
81,6.59,048,-0.30,288
82,7.94,065,-1.55,288
83,6.92,092,-1.11,288
84,8.98,204,3.63,288
85,5.19,320,2.73,288
86,10.75,359,-2.62,288
87,5.85,027,-3.60,288
88,11.94,182,1.07,288
89,7.19,279,8.08,288
90,7.39,023,5.69,288
91,6.35,157,7.84,288
92,9.23,193,13.30,288
93,6.87,321,8.51,288
94,7.66,274,4.91,288
95,8.17,231,11.98,288
96,4.39,021,6.40,288
97,7.52,003,3.20,288
98,5.74,053,4.37,288
99,7.35,102,9.77,288
100,13.04,248,10.93,288
101,6.01,256,9.39,288
102,7.06,169,11.67,288
103,8.71,219,14.84,288
104,4.06,332,11.84,288
105,4.61,035,6.95,288
106,4.85,060,6.64,288
107,4.84,175,14.04,288
108,7.53,294,12.22,288
109,3.95,039,8.04,288
110,9.94,271,8.65,288
111,12.41,256,7.48,288
112,10.27,285,4.68,288
113,5.14,336,4.80,288
114,4.26,110,5.99,288
115,8.76,062,4.88,288
116,7.78,004,4.44,288
117,7.98,347,5.40,288
118,4.15,349,5.25,288
119,3.61,339,6.14,288
120,8.63,349,5.11,288
121,4.44,345,7.07,288
122,4.53,176,14.95,288
123,7.51,191,18.99,288
124,7.29,231,17.01,287
125,5.13,002,8.31,288
126,3.08,014,7.78,288
127,6.14,171,16.64,288
128,7.75,193,21.15,288
129,7.32,010,10.58,288
130,7.60,345,6.14,288
131,7.32,207,12.54,288
132,11.56,263,11.39,288
133,7.01,352,7.08,288
134,6.18,095,8.78,288
135,6.70,157,15.42,288
136,5.71,165,18.02,288
137,9.10,161,19.34,288
138,10.06,222,22.08,288
139,7.56,317,9.24,288
140,6.14,027,5.43,288
141,4.90,288,10.64,288
142,5.41,353,11.51,288
143,5.59,119,13.64,288
144,4.60,136,16.01,288
145,10.76,191,20.57,288
146,9.53,183,20.43,288
147,8.91,233,19.98,288
148,5.10,132,17.80,288
149,6.01,156,19.44,288
150,8.73,274,17.11,288
151,13.55,359,7.09,288
152,7.28,024,8.13,288
153,3.29,016,10.21,288
154,4.69,116,13.41,288
155,5.69,169,17.93,285
156,7.50,340,13.74,288
157,6.72,347,10.40,288
158,7.20,191,16.36,288
159,8.64,233,21.48,288
160,4.64,246,20.13,288
161,9.65,214,24.42,288
162,4.08,013,15.14,288
163,4.64,350,13.50,288
164,3.71,033,13.23,288
165,4.15,210,21.72,288
166,4.43,182,22.09,288
167,5.98,340,15.28,288
168,2.98,008,12.90,288
169,5.60,208,20.37,288
170,8.17,351,12.08,288
171,4.36,352,14.60,288
172,4.21,218,21.05,288
173,7.74,206,24.38,288
174,7.31,297,20.99,288
175,3.75,157,19.29,288
176,4.27,155,19.42,288
177,6.12,003,15.30,288
178,7.23,351,14.97,288
179,4.41,315,17.88,288
180,3.55,127,18.23,288
181,3.96,061,18.11,288
182,4.88,019,13.59,288
183,6.84,008,13.38,288
184,3.71,034,15.96,288
185,3.26,132,18.83,288
186,4.17,139,20.91,288
187,6.47,174,22.42,288
188,9.60,335,17.73,285
189,5.41,030,14.67,288
190,5.59,018,15.59,288
191,3.27,151,18.70,288
192,3.85,149,20.09,288
193,3.21,084,19.43,288
194,6.92,171,22.38,288
195,7.37,305,22.50,288
196,7.69,352,15.99,288
197,4.31,082,17.66,289
198,6.77,203,24.56,288
199,6.45,178,23.98,288
200,4.81,217,24.15,285
201,3.97,235,24.06,288
202,6.13,345,21.83,288
203,3.19,113,20.99,285
204,3.32,116,22.10,288
205,4.22,178,24.37,288
206,6.53,215,24.85,288
207,2.40,019,22.05,288
208,3.86,057,23.00,288
209,5.19,096,23.99,288
210,5.05,249,26.10,288
211,7.33,283,25.16,288
212,7.90,283,25.90,288
213,6.40,286,24.60,285
214,10.02,235,26.87,288
215,6.89,292,23.31,288
216,4.61,287,23.04,288
217,3.77,126,22.26,288
218,5.53,058,21.61,288
219,6.26,126,21.96,288
220,5.60,182,23.05,288
221,2.85,008,21.44,288
222,3.97,012,22.34,288
223,4.98,354,21.72,288
224,3.30,025,20.78,288
225,5.85,210,23.31,288
226,6.78,241,25.59,288
227,4.63,208,24.16,288
228,5.35,205,26.24,285
229,5.51,197,26.21,288
230,6.38,173,22.43,288
231,9.91,197,21.76,288
232,9.36,251,17.99,288
233,5.63,208,20.66,291
234,6.76,165,21.51,288
235,7.75,197,20.82,288
236,8.50,264,18.54,288
237,5.56,333,15.99,288
238,3.48,346,15.67,288
239,2.44,345,17.23,288
240,4.34,151,19.45,288
241,4.97,127,19.85,288
242,4.13,347,17.38,288
243,2.88,121,20.66,288
244,5.65,180,24.51,288
245,5.05,201,26.03,288
246,5.84,231,27.62,288
247,3.79,009,20.91,288
248,5.30,145,22.73,288
249,6.34,180,25.85,288
250,6.18,190,26.68,288
251,5.82,172,24.69,288
252,5.17,328,19.99,288
253,4.08,150,20.13,288
254,6.33,338,17.63,288
255,10.87,348,14.71,289
256,5.64,303,15.69,288
257,8.92,191,19.37,288
